element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Fe,3,"=""290.247""","=""0.005""","=""290.2522""","=""0.0006""","=""2600bl(Fe II)""","=""""",,"=""82495.15""","=""116937.86""","=""3d5.(a 2D).4s""","=""3D""","=""1""","=""3d5.(4G).4p""","=""5F*""","=""1""",,"=""""","=""L3495""",
Fe,1,"=""290.2615""","=""0.0003""","=""290.261569""","=""0.000019""","=""0""","=""""",,"=""22996.674""","=""57438.267""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7F*""","=""4""","=""3d6.4s.(6D).5d""","=""7S""","=""3""",,"=""""","=""L11631c80""",
Fe,12,"=""""","=""""","=""290.27""","=""0.06""","=""""","=""3.2e+02""",C,"=""46075""","=""80515""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""3/2""",M1,"=""T4634""","=""""",
Fe,12,"=""""","=""""","=""290.27""","=""0.06""","=""""","=""5.2e+00""",D,"=""46075""","=""80515""","=""3s2.3p3""","=""2D*""","=""5/2""","=""3s2.3p3""","=""2P*""","=""3/2""",E2,"=""T4634""","=""""",
Fe,2,"=""290.2778""","=""0.0005""","=""290.27885""","=""0.00016""","=""350""","=""""",,"=""60441.042""","=""94880.585""","=""3d5.4s2""","=""c 4D""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""1/2""",,"=""""","=""L18349c143""",
Fe,2,"=""290.3386""","=""0.0005""","=""290.339077""","=""0.000014""","=""250d?""","=""""",,"=""57411.086""","=""91843.485""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(5D).5p""","=""w 6P*""","=""3/2""",,"=""""","=""L18349c143""",
Fe,2,"=""290.3507""","=""0.0005""","=""290.349956""","=""0.000016""","=""100d?""","=""""",,"=""73395.831""","=""107826.940""","=""3d5.4s2""","=""4F""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""3/2""",,"=""""","=""L18349c143""",
Fe,1,"=""290.40844""","=""0.00018""","=""290.408629""","=""0.000019""","=""120""","=""1.60e+07""",D+,"=""21999.130""","=""56423.283""","=""3d7.(2G).4s""","=""a 3G""","=""4""","=""3d6.(1I).4s.4p.(3P*)""","=""u 3H*""","=""4""",,"=""T5720""","=""L11631""",
Fe,1,"=""290.41600""","=""0.00013""","=""290.41611""","=""0.00010""","=""191""","=""""",,"=""19552.478""","=""53975.744""","=""3d6.4s2""","=""a 3P2""","=""1""","=""3d6.(3D).4s.4p.(3P*)""","=""5D*""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""290.4373""","=""0.0005""","=""290.437865""","=""0.000014""","=""400""","=""""",,"=""25981.6451""","=""60402.333""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""",,"=""""","=""L18349c142""",
Fe,3,"=""290.4428""","=""0.0013""","=""290.4444""","=""0.0005""","=""6500""","=""6.0e+07""",D,"=""90484.18""","=""124904.09""","=""3d5.(4F).4s""","=""3F""","=""3""","=""3d5.(4D).4p""","=""3D*""","=""2""",,"=""u45""","=""L3495""",
Fe,1,"=""290.4531""","=""0.0003""","=""290.452784""","=""0.000012""","=""0""","=""""",,"=""17550.181""","=""51969.101""","=""3d7.(4P).4s""","=""a 5P""","=""3""","=""3d7.(2P).4p""","=""u 3D*""","=""3""",,"=""""","=""L11631c80""",
Fe,2,"=""290.4557""","=""0.0005""","=""290.455620""","=""0.000014""","=""180""","=""7.1e+07""",D+,"=""63876.325""","=""98294.909""","=""3d6.(3F2).4p""","=""y 4G*""","=""11/2""","=""3d6.(3H).5s""","=""e 4H""","=""11/2""",,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""290.4690""","=""0.0005""","=""290.46921""","=""0.00004""","=""110d?""","=""""",,"=""72429.675""","=""106846.649""","=""3d6.(3D).4p""","=""w 4D*""","=""1/2""","=""3d6.(5D).5d""","=""4F""","=""3/2""",,"=""""","=""L18349c143""",
Fe,2,"=""290.4845""","=""0.0004""","=""290.484350""","=""0.000015""","=""310""","=""2.6e+07""",D+,"=""72352.046""","=""106767.226""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""290.4876""","=""0.0005""","=""290.488131""","=""0.000015""","=""280""","=""""",,"=""60270.351""","=""94685.083""","=""3d5.4s2""","=""c 4D""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""",,"=""""","=""L18349c143""",
Fe,1,"=""290.5181""","=""0.0004""","=""290.517848""","=""0.000019""","=""0d,bl?""","=""""",,"=""24180.862""","=""58592.074""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""3""","=""3d7.(4F).5d""","=""5F""","=""4""",,"=""""","=""L11631c80""",
Fe,2,"=""290.5181""","=""0.0005""","=""290.518365""","=""0.000015""","=""700d,bl(Fe I)?""","=""""",,"=""27314.9183""","=""61726.069""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""",,"=""""","=""L18349c143""",
Fe,1,"=""290.5363""","=""0.0003""","=""290.53628""","=""0.00003""","=""3""","=""""",,"=""25091.599""","=""59500.628""","=""3d7.(2P).4s""","=""c 3P""","=""0""","=""3d6.(3P2).4s.4p.(1P*)""","=""3S*""","=""1""",,"=""""","=""L11631c80""",
Fe,1,"=""290.5504""","=""0.0003""","=""290.54988""","=""0.00003""","=""0d?""","=""""",,"=""23711.456""","=""58118.875""","=""3d6.(5D).4s.4p.(3P*)""","=""z 7P*""","=""4""","=""3d6.4s.(4D).4d""","=""5F""","=""4""",,"=""""","=""L11631c80""",
Fe,2,"=""290.5505""","=""0.0005""","=""290.549951""","=""0.000020""","=""90d,bl(Fe I)?""","=""1.6e+07""",D+,"=""75600.900""","=""110008.310""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""","=""3d6.(3G).4d""","=""2H""","=""9/2""",,"=""T6892c83""","=""L18349c143""",
Fe,1,"=""290.5571""","=""0.0003""","=""290.55716""","=""0.00003""","=""0""","=""""",,"=""26351.040""","=""60757.596""","=""3d7.(2H).4s""","=""b 3H""","=""5""","=""3d6.(3H).4s.4p.(1P*)""","=""t 3H*""","=""4""",,"=""""","=""L11631c80""",
Fe,2,"=""290.57438""","=""0.00006""","=""290.574367""","=""0.000013""","=""3100""","=""2.9e+08""",C+,"=""64040.891""","=""98445.410""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(3H).5s""","=""e 4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""290.580""","=""0.003""","=""290.5819""","=""0.0004""","=""2100bl(Fe II)""","=""""",,"=""97041.49""","=""131445.12""","=""3d5.(b 2F).4s""","=""1F""","=""3""","=""3d5.(a 2D).4p""","=""1D*""","=""2""",,"=""""","=""L3495""",
Fe,2,"=""290.6122""","=""0.0005""","=""290.612387""","=""0.000017""","=""1000""","=""1.8e+07""",D+,"=""26932.7348""","=""61332.753""","=""3d6.(3P2).4s""","=""b 2P""","=""1/2""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""",,"=""T6892c83""","=""L18349c143""",
Fe,1,"=""290.64143""","=""0.00013""","=""290.641479""","=""0.000019""","=""269""","=""""",,"=""19621.006""","=""54017.581""","=""3d6.4s2""","=""a 3H""","=""5""","=""3d7.(4F).5p""","=""3G*""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""290.6583""","=""0.0005""","=""290.658000""","=""0.000015""","=""90bl(Fe I)""","=""""",,"=""73492.248""","=""107886.868""","=""3d5.4s2""","=""4F""","=""7/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6D*""","=""7/2""",,"=""""","=""L18349c142""",
Fe,1,"=""290.6583""","=""0.0004""","=""290.658144""","=""0.000012""","=""(0)bl""","=""""",,"=""17550.181""","=""51944.784""","=""3d7.(4P).4s""","=""a 5P""","=""3""","=""3d6.(5D).4s (6D).5p""","=""u 5P*""","=""2""",,"=""""","=""L11631c81""",
