element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,2,"=""293.412""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""293.425""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""""","=""295.410""","=""0.020""","=""""","=""6.0927e+07""",AAA,"=""[558777.01]""","=""[592618.4]""","=""1s.3s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""296.3279""","=""0.0016""","=""""","=""5.6915e+02""",AAA,"=""[558777.01]""","=""[592513.56]""","=""1s.3s""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
Li,1,"=""296.8""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,2,"=""""","=""302.908""","=""0.014""","=""""","=""2.0896e+08""",AAA,"=""[559499.5]""","=""[592503.22]""","=""1s.3p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""302.912""","=""302.912""","=""0.014""","=""3*""","=""6.9666e+07""",AAA,"=""[559499.5]""","=""[592502.83]""","=""1s.3p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""302.912""","=""302.912""","=""0.007""","=""3*""","=""3.9012e+08""",AAA,"=""[559500.55]""","=""[592503.88]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""302.914""","=""302.918""","=""0.007""","=""3""","=""6.9660e+07""",AAA,"=""[559500.55]""","=""[592503.22]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""302.921""","=""0.008""","=""""","=""4.6443e+06""",AAA,"=""[559500.55]""","=""[592502.83]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""302.929""","=""0.003""","=""""","=""9.2886e+07""",AAA,"=""[559501.45]""","=""[592502.83]""","=""1s.3p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
Li,1,"=""314.4""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,2,"=""315.531""","=""315.526""","=""0.015""","=""3""","=""3.2127e+07""",AAA,"=""[559499.5]""","=""[591183.39]""","=""1s.3p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""315.533""","=""315.537""","=""0.008""","=""4""","=""5.3550e+07""",AAA,"=""[559500.55]""","=""[591183.39]""","=""1s.3p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""315.546""","=""0.003""","=""""","=""1.0710e+07""",AAA,"=""[559501.45]""","=""[591183.39]""","=""1s.3p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""318.931""","=""0.023""","=""""","=""6.0264e+06""",AAA,"=""[561272.75]""","=""[592618.4]""","=""1s.3d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""319.6216""","=""0.0014""","=""""","=""9.184e+07""",AA,"=""[561242.28]""","=""[592520.24]""","=""1s.3d""","=""3D""","=""2""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""319.626""","=""319.6318""","=""0.0014""","=""1*""","=""3.6332e+08""",AAA,"=""[561242.28]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""2""","=""1s.5f""","=""3F*""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""319.626""","=""319.6318""","=""0.0014""","=""1*""","=""5.6870e+07""",AAA,"=""[561242.28]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""2""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""319.6279""","=""0.0014""","=""""","=""1.241e+07""",AA,"=""[561242.90]""","=""[592520.24]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""319.633""","=""319.6381""","=""0.0014""","=""9*""","=""6.5830e+08""",AAA,"=""[561242.90]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""4""",,"=""T8636c73""","=""L3501""",
Li,2,"=""319.633""","=""319.6381""","=""0.0014""","=""9*""","=""1.6254e+06""",AAA,"=""[561242.90]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""319.633""","=""319.6381""","=""0.0014""","=""9*""","=""4.4480e+07""",AAA,"=""[561242.90]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""3""","=""1s.5f""","=""3F*""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""319.636""","=""319.6435""","=""0.0023""","=""4""","=""3.0722e+08""",AAA,"=""[561243.43]""","=""[592519.24]""","=""1s.3d""","=""3D""","=""1""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""319.933""","=""319.9332""","=""0.0014""","=""5""","=""4.0639e+08""",AAA,"=""[561272.75]""","=""[592520.24]""","=""1s.3d""","=""1D""","=""2""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""319.943""","=""319.9435""","=""0.0014""","=""2""","=""1.038e+08""",AA,"=""[561272.75]""","=""[592519.24]""","=""1s.3d""","=""1D""","=""2""","=""1s.5f""","=""3F*""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""319.9435""","=""0.0014""","=""""","=""2.043e+04""",AA,"=""[561272.75]""","=""[592519.24]""","=""1s.3d""","=""1D""","=""2""","=""1s.5f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,1,"=""323.266""","=""323.2657""","=""0.0015""","=""17*""","=""4.008e+06""",AA,"=""0.00""","=""30925.38""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""3/2""",,"=""T7401LS""","=""L7397""",
Li,1,"=""323.266""","=""323.2657""","=""0.0015""","=""17*""","=""2.004e+06""",AA,"=""0.00""","=""30925.38""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.3p""","=""2P*""","=""1/2""",,"=""T7401LS""","=""L7397""",
Li,2,"=""""","=""323.6197""","=""0.0015""","=""""","=""2.9590e+06""",AAA,"=""[561242.28]""","=""[592133.83]""","=""1s.3d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""323.6262""","=""0.0015""","=""""","=""1.6576e+07""",AAA,"=""[561242.90]""","=""[592133.83]""","=""1s.3d""","=""3D""","=""3""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""323.6267""","=""0.0015""","=""""","=""8.8776e+06""",AAA,"=""[561242.28]""","=""[592133.16]""","=""1s.3d""","=""3D""","=""2""","=""1s.5p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""323.6318""","=""0.0023""","=""""","=""1.9734e+05""",AAA,"=""[561243.43]""","=""[592133.83]""","=""1s.3d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""323.6388""","=""0.0023""","=""""","=""2.9600e+06""",AAA,"=""[561243.43]""","=""[592133.16]""","=""1s.3d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""323.6428""","=""0.0023""","=""""","=""3.9467e+06""",AAA,"=""[561243.43]""","=""[592132.78]""","=""1s.3d""","=""3D""","=""1""","=""1s.5p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""323.883""","=""0.024""","=""""","=""2.7138e+02""",AAA,"=""[561751.95]""","=""[592618.4]""","=""1s.3p""","=""1P*""","=""1""","=""1s.5p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
Li,2,"=""324.987""","=""324.9868""","=""0.0022""","=""""","=""2.6776e+08""",AAA,"=""[561751.95]""","=""[592513.56]""","=""1s.3p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""325.4701""","=""0.0019""","=""""","=""4.6387e+01""",AAA,"=""[561272.75]""","=""[591988.68]""","=""1s.3d""","=""1D""","=""2""","=""1s.5s""","=""1S""","=""0""",E2,"=""T7378""","=""""",
Li,2,"=""330.628""","=""330.6284""","=""0.0023""","=""""","=""2.5203e+07""",AAA,"=""[561751.95]""","=""[591988.68]""","=""1s.3p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",,"=""T8636c73""","=""L3501""",
Li,1,"=""348.8""","=""348.8""","=""1.7""","=""*""","=""""",,"=""494570""","=""523230""","=""1s.2s.3p""","=""4P*""","=""5/2""","=""1s.2p.3p""","=""4P""","=""5/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""348.8""","=""348.8""","=""1.7""","=""*""","=""""",,"=""494570""","=""523230""","=""1s.2s.3p""","=""4P*""","=""5/2""","=""1s.2p.3p""","=""4P""","=""3/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""348.8""","=""348.8""","=""1.7""","=""*""","=""""",,"=""494570""","=""523230""","=""1s.2s.3p""","=""4P*""","=""3/2""","=""1s.2p.3p""","=""4P""","=""5/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""348.8""","=""348.8""","=""1.7""","=""*""","=""""",,"=""494570""","=""523230""","=""1s.2s.3p""","=""4P*""","=""3/2""","=""1s.2p.3p""","=""4P""","=""3/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""348.8""","=""348.8""","=""1.7""","=""*""","=""""",,"=""494570""","=""523230""","=""1s.2s.3p""","=""4P*""","=""3/2""","=""1s.2p.3p""","=""4P""","=""1/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""348.8""","=""348.8""","=""1.7""","=""*""","=""""",,"=""494570""","=""523230""","=""1s.2s.3p""","=""4P*""","=""1/2""","=""1s.2p.3p""","=""4P""","=""3/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""348.8""","=""348.8""","=""1.7""","=""*""","=""""",,"=""494570""","=""523230""","=""1s.2s.3p""","=""4P*""","=""1/2""","=""1s.2p.3p""","=""4P""","=""1/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""357.98""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1560""",
Li,1,"=""361.8""","=""361.8""","=""1.9""","=""*""","=""""",,"=""490440""","=""518070""","=""1s.2p2""","=""4P""","=""5/2""","=""1s.2p.4s""","=""4P*""","=""5/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""361.8""","=""361.8""","=""1.9""","=""*""","=""""",,"=""490440""","=""518070""","=""1s.2p2""","=""4P""","=""5/2""","=""1s.2p.4s""","=""4P*""","=""3/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""361.8""","=""361.8""","=""1.9""","=""*""","=""""",,"=""490440""","=""518070""","=""1s.2p2""","=""4P""","=""3/2""","=""1s.2p.4s""","=""4P*""","=""5/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""361.8""","=""361.8""","=""1.9""","=""*""","=""""",,"=""490440""","=""518070""","=""1s.2p2""","=""4P""","=""3/2""","=""1s.2p.4s""","=""4P*""","=""3/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""361.8""","=""361.8""","=""1.9""","=""*""","=""""",,"=""490440""","=""518070""","=""1s.2p2""","=""4P""","=""3/2""","=""1s.2p.4s""","=""4P*""","=""1/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""361.8""","=""361.8""","=""1.9""","=""*""","=""""",,"=""490440""","=""518070""","=""1s.2p2""","=""4P""","=""1/2""","=""1s.2p.4s""","=""4P*""","=""3/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""361.8""","=""361.8""","=""1.9""","=""*""","=""""",,"=""490440""","=""518070""","=""1s.2p2""","=""4P""","=""1/2""","=""1s.2p.4s""","=""4P*""","=""1/2""",,"=""""","=""L1235,L3354""",
Li,1,"=""366.2""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,1,"=""""","=""367.169""","=""0.014""","=""""","=""5.596e+06""",AA,"=""14903.66""","=""42131.3""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.9d""","=""2D""","=""3/2""",,"=""T6835LS""","=""""",
Li,1,"=""""","=""367.174""","=""0.014""","=""""","=""1.119e+06""",AA,"=""14904.00""","=""42131.3""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.9d""","=""2D""","=""3/2""",,"=""T6835LS""","=""""",
Li,1,"=""""","=""367.174""","=""0.014""","=""""","=""1.007e+07""",AA,"=""14904.00""","=""42131.3""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.9d""","=""2D""","=""5/2""",,"=""T6835LS""","=""""",
Li,2,"=""368.432""","=""368.4602""","=""0.0019""","=""""","=""1.5294e+08""",AAA,"=""[554753.58]""","=""[581885.83]""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""368.4700""","=""0.0019""","=""""","=""9.1740e+07""",AAA,"=""[554753.58]""","=""[581885.11]""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""368.4754""","=""0.0019""","=""""","=""3.0580e+07""",AAA,"=""[554753.58]""","=""[581884.71]""","=""1s.3s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
Li,2,"=""371.400""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.416""","=""""","=""""","=""5""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.427""","=""""","=""""","=""6bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.429""","=""""","=""""","=""8""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.440""","=""""","=""""","=""7bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.441""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.451""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,2,"=""371.458""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3501""",
Li,1,"=""371.87""","=""372.089""","=""0.014""","=""3*""","=""8.044e+06""",AA,"=""14903.66""","=""41771.3""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
Li,1,"=""371.87""","=""372.094""","=""0.014""","=""3*""","=""1.448e+07""",AA,"=""14904.00""","=""41771.3""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",,"=""T6835LS""","=""L7397""",
Li,1,"=""371.87""","=""372.094""","=""0.014""","=""3*""","=""1.609e+06""",AA,"=""14904.00""","=""41771.3""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
Li,1,"=""""","=""374.658""","=""0.014""","=""""","=""6.74e+05""",A,"=""14903.66""","=""41587.1""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""374.663""","=""0.014""","=""""","=""1.35e+06""",A,"=""14904.00""","=""41587.1""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.8s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
Li,1,"=""379.472""","=""379.502""","=""0.014""","=""6*""","=""1.216e+07""",AA,"=""14903.66""","=""41246.5""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
Li,1,"=""379.472""","=""379.507""","=""0.014""","=""6*""","=""2.189e+07""",AA,"=""14904.00""","=""41246.5""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,"=""T6835LS""","=""L7397""",
Li,1,"=""379.472""","=""379.507""","=""0.014""","=""6*""","=""2.433e+06""",AA,"=""14904.00""","=""41246.5""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
Li,1,"=""""","=""383.559""","=""0.015""","=""""","=""1.04e+06""",A,"=""14903.66""","=""40967.9""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""383.564""","=""0.015""","=""""","=""2.08e+06""",A,"=""14904.00""","=""40967.9""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
Li,2,"=""""","=""387.8838""","=""0.0021""","=""""","=""1.144e+02""",AA,"=""[476034.11]""","=""[501807.72]""","=""1s.2s""","=""3S""","=""1""","=""1s.2p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,1,"=""391.530""","=""391.5292""","=""0.0022""","=""20""","=""1.986e+07""",AA,"=""14903.66""","=""40437.31""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
Li,1,"=""391.535""","=""391.5342""","=""0.0022""","=""20*""","=""3.575e+07""",AA,"=""14904.00""","=""40437.32""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""5/2""",,"=""T6835LS""","=""L7397""",
Li,1,"=""391.535""","=""391.5344""","=""0.0022""","=""20*""","=""3.970e+06""",AA,"=""14904.00""","=""40437.31""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6d""","=""2D""","=""3/2""",,"=""T6835LS""","=""L7397""",
Li,1,"=""398.548""","=""398.5481""","=""0.0022""","=""10""","=""1.72e+06""",A,"=""14903.66""","=""39987.64""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
Li,1,"=""398.554""","=""398.5535""","=""0.0022""","=""10""","=""3.46e+06""",A,"=""14904.00""","=""39987.64""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.6s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
Li,1,"=""413.256""","=""413.2557""","=""0.0024""","=""40""","=""3.62e+07""",A,"=""14903.66""","=""39094.93""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""L7397""",
Li,1,"=""413.262""","=""413.2613""","=""0.0024""","=""40*""","=""6.54e+07""",A,"=""14904.00""","=""39094.94""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""5/2""",,"=""T5118LS""","=""L7397""",
Li,1,"=""413.262""","=""413.2615""","=""0.0024""","=""40*""","=""7.24e+06""",A,"=""14904.00""","=""39094.93""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5d""","=""2D""","=""3/2""",,"=""T5118LS""","=""L7397""",
Li,2,"=""415.645""","=""415.519""","=""0.021""","=""""","=""1.0232e+08""",AAA,"=""[558777.01]""","=""[582836.5]""","=""1s.3s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""419.115""","=""0.003""","=""""","=""1.5186e+03""",AAA,"=""[558777.01]""","=""[582630.08]""","=""1s.3s""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
Li,1,"=""419.6""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L1614""",
Li,1,"=""427.307""","=""427.306""","=""0.003""","=""20""","=""3.16e+06""",A,"=""14903.66""","=""38299.50""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
Li,1,"=""427.313""","=""427.312""","=""0.003""","=""20""","=""6.34e+06""",A,"=""14904.00""","=""38299.50""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s2.5s""","=""2S""","=""1/2""",,"=""T5118LS""","=""L7397""",
Li,2,"=""""","=""432.21""","=""0.03""","=""""","=""7.010e+04""",AA,"=""[559499.5]""","=""[582630.08]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""432.226""","=""0.015""","=""""","=""2.718e+04""",AA,"=""[559500.55]""","=""[582630.08]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""432.53""","=""0.03""","=""""","=""4.0350e+08""",AAA,"=""[559499.5]""","=""[582612.54]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""432.542""","=""432.54""","=""0.03""","=""5*""","=""1.3453e+08""",AAA,"=""[559499.5]""","=""[582612.15]""","=""1s.3p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""432.542""","=""432.542""","=""0.015""","=""5*""","=""7.5334e+08""",AAA,"=""[559500.55]""","=""[582613.20]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",,"=""T8636c73""","=""L3501""",
Li,2,"=""432.547""","=""432.554""","=""0.015""","=""5""","=""1.3450e+08""",AAA,"=""[559500.55]""","=""[582612.54]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",,"=""T8636c73""","=""L3501""",
Li,2,"=""432.554""","=""432.562""","=""0.015""","=""1""","=""8.9688e+06""",AAA,"=""[559500.55]""","=""[582612.15]""","=""1s.3p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""432.578""","=""0.007""","=""""","=""1.7937e+08""",AAA,"=""[559501.45]""","=""[582612.15]""","=""1s.3p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
Li,3,"=""""","=""449.8225057""","=""0.0000023""","=""""","=""4.0140e+08""",AA,"=""(925932.587659)""","=""(948157.34398)""","=""4p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.8277799""","=""0.0000023""","=""""","=""2.3895e+08""",AA,"=""(925932.85143)""","=""(948157.347169)""","=""4s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.8581249""","=""0.0000023""","=""""","=""3.4870e+07""",AA,"=""(925932.587659)""","=""(948155.58428)""","=""4p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.8662020""","=""0.0000023""","=""""","=""1.1954e+08""",AA,"=""(925932.85143)""","=""(948155.449056)""","=""4s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.8846443""","=""0.0000025""","=""""","=""1.1732e+09""",AA,"=""(925936.28876)""","=""(948157.97542)""","=""4d""","=""2D""","=""3/2""","=""5f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.8847466""","=""0.0000023""","=""""","=""7.2264e+08""",AA,"=""(925936.294951)""","=""(948157.97656)""","=""4p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.8973640""","=""0.0000025""","=""""","=""6.1112e+06""",AA,"=""(925936.28876)""","=""(948157.347169)""","=""4d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.8975539""","=""0.0000023""","=""""","=""8.0300e+07""",AA,"=""(925936.294951)""","=""(948157.34398)""","=""4p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.9032229""","=""0.0000023""","=""""","=""2.6603e+09""",AA,"=""(925937.52206)""","=""(948158.291096)""","=""4f""","=""2F*""","=""5/2""","=""5g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.9032561""","=""0.0000025""","=""""","=""1.6761e+09""",AA,"=""(925937.52429)""","=""(948158.29169)""","=""4d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.9095915""","=""0.0000024""","=""""","=""1.1692e+06""",AA,"=""(925937.52206)""","=""(948157.97656)""","=""4f""","=""2F*""","=""5/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.909660""","=""0.000003""","=""""","=""8.3802e+07""",AA,"=""(925937.52429)""","=""(948157.97542)""","=""4d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.9118883""","=""0.0000023""","=""""","=""3.4486e+09""",AA,"=""(925938.13979)""","=""(948158.480859)""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""9/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.9157307""","=""0.0000023""","=""""","=""9.8528e+07""",AA,"=""(925938.13979)""","=""(948158.291096)""","=""4f""","=""2F*""","=""7/2""","=""5g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.9220996""","=""0.0000024""","=""""","=""2.3388e+07""",AA,"=""(925938.13979)""","=""(948157.97656)""","=""4f""","=""2F*""","=""7/2""","=""5d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Li,3,"=""""","=""449.9223809""","=""0.0000025""","=""""","=""5.5020e+07""",AA,"=""(925937.52429)""","=""(948157.347169)""","=""4d""","=""2D""","=""5/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
