element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,1,"=""""","=""954.980""","=""0.013""","=""""","=""1.83e+04""",B,"=""31283.08""","=""41751.63""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""954.980""","=""0.013""","=""""","=""9.14e+04""",B,"=""31283.08""","=""41751.63""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.8p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""954.984""","=""0.013""","=""""","=""1.64e+05""",B,"=""31283.12""","=""41751.63""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.8p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
Li,2,"=""958.142""","=""958.141""","=""0.017""","=""""","=""1.5427e+07""",AAA,"=""[491373.71]""","=""[501807.72]""","=""1s.2s""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,"=""T8636c73""","=""L4834""",
Li,1,"=""""","=""968.62""","=""0.09""","=""""","=""8.16e+05""",A,"=""30925.38""","=""41246.5""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""968.62""","=""0.09""","=""""","=""7.38e+06""",A,"=""30925.38""","=""41246.5""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.7d""","=""2D""","=""5/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""968.62""","=""0.09""","=""""","=""4.08e+06""",A,"=""30925.38""","=""41246.5""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.7d""","=""2D""","=""3/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""995.49""","=""0.10""","=""""","=""5.74e+05""",B,"=""30925.38""","=""40967.9""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""995.49""","=""0.10""","=""""","=""1.15e+06""",B,"=""30925.38""","=""40967.9""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.7s""","=""2S""","=""1/2""",,"=""T5118LS""","=""""",
Li,2,"=""""","=""1000.89""","=""0.23""","=""""","=""7.7391e+06""",AAA,"=""[582630.08]""","=""[592618.4]""","=""1s.4d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,1,"=""""","=""1006.341""","=""0.014""","=""""","=""2.84e+04""",A,"=""31283.08""","=""41217.35""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""1006.341""","=""0.014""","=""""","=""1.42e+05""",A,"=""31283.08""","=""41217.35""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.7p""","=""2P*""","=""1/2""",,"=""T5118LS""","=""""",
Li,1,"=""""","=""1006.345""","=""0.014""","=""""","=""2.54e+05""",A,"=""31283.12""","=""41217.35""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.7p""","=""2P*""","=""3/2""",,"=""T5118LS""","=""""",
Li,2,"=""""","=""1009.039""","=""0.014""","=""""","=""5.297e+07""",AA,"=""[582612.54]""","=""[592520.24]""","=""1s.4d""","=""3D""","=""2""","=""1s.5f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
