element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
C,1,"=""""","=""""","=""624.6599""","=""0.0016""","=""m(Ne I)""","=""""",,"=""72610.73530""","=""88615.02""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L17684""",
C,2,"=""625.0740""","=""0.0020""","=""625.0741""","=""0.0016""","=""15""","=""2.59e+07""",C+,"=""198436.26""","=""214429.94""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""625.384""","=""0.004""","=""625.3845""","=""0.0012""","=""6""","=""1.7e+06""",C,"=""198844.00""","=""214829.74""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""",,"=""T10528""","=""L1176""",
C,2,"=""625.654""","=""0.004""","=""625.654""","=""0.003""","=""6""","=""2.87e+07""",C+,"=""198425.48""","=""214404.34""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""1/2""",,"=""T10528""","=""L1176""",
C,2,"=""625.7117""","=""0.0018""","=""625.7114""","=""0.0016""","=""11""","=""2.93e+06""",B,"=""162517.90""","=""178495.29""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.5d""","=""2D""","=""3/2""",,"=""T5109LS""","=""L21568,L1176""",
C,2,"=""625.959""","=""0.003""","=""625.963""","=""0.003""","=""19h*""","=""3.51e+06""",B,"=""162524.56""","=""178495.54""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""625.959""","=""0.003""","=""625.9723""","=""0.0020""","=""19h*""","=""5.86e+05""",B,"=""162524.56""","=""178495.29""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""3/2""",,"=""T5109LS""","=""L1176""",
C,2,"=""""","=""""","=""626.7356""","=""0.0012""","=""""","=""4.9e+05""",C,"=""198844.00""","=""214795.28""","=""2s.2p.(3P*).3d""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""",,"=""T10528""","=""""",
C,2,"=""627.579""","=""0.004""","=""627.5724""","=""0.0012""","=""4""","=""1.1e+06""",C,"=""198865.27""","=""214795.28""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""5/2""",,"=""T10528""","=""L1176""",
C,2,"=""628.456""","=""0.004""","=""628.4581""","=""0.0016""","=""3""","=""8.6e+05""",C,"=""198865.27""","=""214772.83""","=""2s.2p.(3P*).3d""","=""4P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",,"=""T10528""","=""L1176""",
C,2,"=""629.001""","=""0.004""","=""629.0022""","=""0.0016""","=""4""","=""6.8e+05""",C,"=""198879.03""","=""214772.83""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4D""","=""3/2""",,"=""T10528""","=""L1176""",
C,1,"=""629.2366""","=""0.0014""","=""629.2360""","=""0.0012""","=""3400""","=""2.1e+05""",D,"=""72610.73530""","=""88498.63""","=""2s2.2p.3p""","=""1D""","=""2""","=""2s2.2p.(2P*<1/2>).7d""","=""2[5/2]*""","=""2""",,"=""T5520""","=""L17684""",
C,2,"=""629.520""","=""0.004""","=""629.520""","=""0.004""","=""3""","=""1.3e+06""",C,"=""198879.03""","=""214759.76""","=""2s.2p.(3P*).3d""","=""4P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""4D""","=""1/2""",,"=""T10528""","=""L1176""",
C,1,"=""633.5704""","=""0.0014""","=""633.5698""","=""0.0010""","=""1400""","=""""",,"=""70743.97227""","=""86523.19""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.5d""","=""3P*""","=""0""",,"=""""","=""L17684""",
C,1,"=""633.7196""","=""0.0014""","=""633.7177""","=""0.0006""","=""2100""","=""""",,"=""70743.97227""","=""86519.506""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.5d""","=""3P*""","=""1""",,"=""""","=""L17684""",
C,1,"=""634.2315""","=""0.0014""","=""634.23204""","=""0.00008""","=""5000""","=""""",,"=""70743.97227""","=""86506.7138""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.5d""","=""3P*""","=""2""",,"=""""","=""L17684""",
C,3,"=""""","=""""","=""635.077""","=""""","=""""","=""3.10e+06""",B,"=""333118.21""","=""348859.99""","=""1s2.2p.(2P*).3p""","=""1D""","=""2""","=""1s2.2s.5f""","=""1F*""","=""3""",,"=""T5633""","=""""",
C,1,"=""637.8791""","=""0.0014""","=""637.8798""","=""0.0007""","=""1700""","=""""",,"=""70743.97227""","=""86416.575""","=""2s2.2p.3p""","=""3S""","=""1""","=""2s2.2p.6s""","=""1P*""","=""1""",,"=""""","=""L17684""",
