element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""""","=""373.999""","=""""","=""""","=""8.06e+05""",D,"=""248010.23""","=""274740.7""","=""2s2.2p2.(3P).4p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",,"=""T5723LS""","=""""",
O,2,"=""""","=""374.014""","=""""","=""""","=""2.30e+05""",E,"=""248186.64""","=""274916.0""","=""2s2.2p2.(3P).4p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""3/2""",,"=""T5723LS""","=""""",
O,2,"=""374.1639""","=""374.1640""","=""""","=""11""","=""4.50e+06""",D,"=""228747.45""","=""255466.10""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""2F""","=""7/2""",,"=""T5723LS""","=""L10621""",
O,3,"=""""","=""374.2632""","=""""","=""""","=""2.24e+07""",C+,"=""374663.52""","=""401375.09""","=""2s.2p2.(4P).3p""","=""3D*""","=""2""","=""2s.2p2.(4P).3d""","=""3F""","=""2""",,"=""T5376LS""","=""""",
O,3,"=""374.400""","=""""","=""""","=""110""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3467""",
O,2,"=""""","=""374.4286""","=""""","=""""","=""6.76e+04""",C,"=""206730.762""","=""233430.53""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T6172""","=""""",
O,4,"=""374.489""","=""374.489""","=""""","=""230""","=""1.92e+07""",B,"=""468550.6""","=""495246.1""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4F*""","=""5/2""",,"=""T5109LS""","=""L648""",
O,5,"=""""","=""374.664""","=""""","=""""","=""1.18e+07""",B,"=""677665.0""","=""704348.0""","=""1s2.2p.(2P*<3/2>).3p""","=""3D""","=""3""","=""1s2.2p.(2P*<3/2>).3d""","=""3D*""","=""3""",,"=""T3843n""","=""""",
O,3,"=""""","=""374.6899""","=""""","=""""","=""1.59e+07""",C+,"=""374795.14""","=""401476.29""","=""2s.2p2.(4P).3p""","=""3D*""","=""3""","=""2s.2p2.(4P).3d""","=""3F""","=""3""",,"=""T5376LS""","=""""",
O,2,"=""374.8880""","=""374.8865""","=""""","=""6""","=""""",,"=""203942.288""","=""230609.45""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""374.9486""","=""374.94841""","=""""","=""30""","=""8.97e+07""",B,"=""185499.124""","=""212161.881""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",,"=""T6172,T6632""","=""L10621""",
O,2,"=""""","=""375.2089""","=""""","=""""","=""4.64e+04""",C,"=""206786.286""","=""233430.53""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T6172""","=""""",
O,3,"=""375.467""","=""375.4696""","=""""","=""150""","=""7.53e+07""",C+,"=""267377.11""","=""294002.86""","=""2s2.2p.(2P*).3s""","=""3P*""","=""1""","=""2s2.2p.(2P*).3p""","=""3D""","=""2""",,"=""u24""","=""L3467""",
O,4,"=""""","=""375.573""","=""""","=""""","=""1.57e+06""",B,"=""468550.6""","=""495169""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).3d""","=""4F*""","=""3/2""",,"=""T5109LS""","=""""",
O,3,"=""375.721""","=""375.7232""","=""""","=""80""","=""5.56e+07""",C+,"=""267258.71""","=""293866.49""","=""2s2.2p.(2P*).3s""","=""3P*""","=""0""","=""2s2.2p.(2P*).3p""","=""3D""","=""1""",,"=""u24""","=""L3467""",
O,4,"=""""","=""375.839""","=""""","=""""","=""1.11e+07""",B,"=""468760.0""","=""495359.6""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).3d""","=""4F*""","=""7/2""",,"=""T5109LS""","=""""",
O,2,"=""""","=""375.906""","=""""","=""""","=""8.51e+05""",D,"=""248186.64""","=""274781.5""","=""2s2.2p2.(3P).4p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""7/2""",,"=""T5723LS""","=""""",
O,3,"=""375.987""","=""375.9875""","=""""","=""250""","=""9.79e+07""",C+,"=""267634.00""","=""294223.07""","=""2s2.2p.(2P*).3s""","=""3P*""","=""2""","=""2s2.2p.(2P*).3p""","=""3D""","=""3""",,"=""u24""","=""L3467""",
O,3,"=""""","=""376.1166""","=""""","=""""","=""6.22e+05""",C+,"=""374795.14""","=""401375.09""","=""2s.2p2.(4P).3p""","=""3D*""","=""3""","=""2s.2p2.(4P).3d""","=""3F""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""376.1400""","=""376.1403""","=""""","=""9""","=""4.37e+06""",D,"=""228723.84""","=""255302.11""","=""2s2.2p2.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""",,"=""T5723LS""","=""L10621""",
O,5,"=""""","=""376.158""","=""""","=""""","=""1.61e+06""",B,"=""677665.0""","=""704242.0""","=""1s2.2p.(2P*<3/2>).3p""","=""3D""","=""3""","=""1s2.2p.(2P*<3/2>).3d""","=""3D*""","=""2""",,"=""T3843n""","=""""",
O,4,"=""""","=""376.187""","=""""","=""""","=""5.40e+05""",B,"=""547326""","=""573901""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).4s""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""376.2465""","=""376.2465""","=""""","=""19""","=""3.10e+07""",B,"=""212161.881""","=""238732.65""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""3/2""",,"=""T6632""","=""L10621""",
O,2,"=""""","=""376.4748""","=""""","=""""","=""2.18e+05""",D,"=""228747.45""","=""255302.11""","=""2s2.2p2.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p2.(3P).4d""","=""2F""","=""5/2""",,"=""T5723LS""","=""L11267""",
O,2,"=""""","=""376.483""","=""""","=""""","=""5.64e+04""",E,"=""248186.64""","=""274740.7""","=""2s2.2p2.(3P).4p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).4d""","=""2F""","=""5/2""",,"=""T5723LS""","=""""",
O,2,"=""""","=""376.5031""","=""""","=""""","=""3.88e+04""",C,"=""206877.865""","=""233430.53""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T6172""","=""""",
O,4,"=""""","=""376.598""","=""""","=""""","=""4.84e+06""",B,"=""547355""","=""573901""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","=""2s.2p.(3P*).4s""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""""","=""377.400""","=""""","=""""","=""4.90e+06""",D,"=""248426.41""","=""274916.0""","=""2s2.2p2.(3P).4p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""3/2""",,"=""T5723LS""","=""""",
O,3,"=""""","=""377.4026""","=""""","=""""","=""3.91e+07""",C+,"=""267377.11""","=""293866.49""","=""2s2.2p.(2P*).3s""","=""3P*""","=""1""","=""2s2.2p.(2P*).3p""","=""3D""","=""1""",,"=""u24""","=""""",
O,4,"=""""","=""377.449""","=""""","=""""","=""7.45e+05""",B,"=""468760.0""","=""495246.1""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).3d""","=""4F*""","=""5/2""",,"=""T5109LS""","=""""",
O,2,"=""377.7421""","=""377.7420""","=""""","=""16""","=""2.25e+07""",B,"=""212161.881""","=""238627.46""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""4P""","=""1/2""",,"=""T6632""","=""L10621""",
O,2,"=""""","=""378.498""","=""""","=""""","=""5.83e+06""",D,"=""248515.30""","=""274928.0""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""5/2""",,"=""T5723LS""","=""""",
O,2,"=""""","=""378.670""","=""""","=""""","=""9.70e+05""",D,"=""248515.30""","=""274916.0""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).4d""","=""2D""","=""3/2""",,"=""T5723LS""","=""""",
O,4,"=""""","=""378.738""","=""""","=""""","=""8.25e+06""",B,"=""573696""","=""600092""","=""2s.2p.(3P*).4s""","=""2P*""","=""1/2""","=""2p2.(1D).3s""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""379.111""","=""""","=""""","=""5.27e+06""",B,"=""547326""","=""573696""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(3P*).4s""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
