element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
O,2,"=""290.0267""","=""290.0265""","=""""","=""7""","=""""",,"=""231530.246""","=""265999.75""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""""","=""290.0891""","=""""","=""""","=""""",,"=""231530.246""","=""265992.31""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""7/2""",,"=""""","=""L11267""",
O,2,"=""290.4245""","=""290.4238""","=""""","=""8""","=""""",,"=""231296.126""","=""265718.48""","=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,4,"=""""","=""290.469""","=""""","=""""","=""3.67e+05""",B,"=""547326""","=""581743""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""290.5010""","=""290.5004""","=""""","=""8""","=""""",,"=""231350.087""","=""265763.36""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""""","=""290.6120""","=""""","=""""","=""""",,"=""231530.246""","=""265930.31""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5f G""","=""2[5]*""","=""9/2""",,"=""""","=""L11267""",
O,4,"=""""","=""290.655""","=""""","=""""","=""3.66e+06""",B,"=""547326""","=""581721""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
O,2,"=""290.6553""","=""290.6553""","=""""","=""13""","=""""",,"=""231530.246""","=""265925.19""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5f G""","=""2[5]*""","=""11/2""",,"=""""","=""L10621""",
O,4,"=""""","=""290.714""","=""""","=""""","=""3.29e+06""",B,"=""547355""","=""581743""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""","=""2s.2p.(1P*).3d""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""290.8643""","=""290.8637""","=""""","=""6""","=""""",,"=""231350.087""","=""265720.38""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""290.8781""","=""290.8798""","=""""","=""3""","=""""",,"=""231350.087""","=""265718.48""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""291.1130""","=""291.1121""","=""""","=""8""","=""""",,"=""231296.126""","=""265637.10""","=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""""","=""291.1594""","=""""","=""""","=""""",,"=""231427.970""","=""265763.36""","=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""7/2""",,"=""""","=""L11267""",
O,2,"=""291.1769""","=""291.1770""","=""""","=""11""","=""""",,"=""231427.970""","=""265761.29""","=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""291.5243""","=""291.5244""","=""""","=""2""","=""""",,"=""231427.970""","=""265720.38""","=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""291.5578""","=""291.5576""","=""""","=""8""","=""""",,"=""231350.087""","=""265638.59""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""""","=""291.5702""","=""""","=""""","=""""",,"=""231350.087""","=""265637.10""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,4,"=""""","=""291.631""","=""""","=""""","=""1.06e+08""",B,"=""467229.3""","=""501509.2""","=""2s.2p.(3P*).3p""","=""2P""","=""1/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""""","=""292.0470""","=""""","=""""","=""""",,"=""231530.246""","=""265761.29""","=""2s2.2p2.(3P).3d""","=""4F""","=""9/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""9/2""",,"=""""","=""L11267""",
O,4,"=""292.145""","=""292.146""","=""""","=""160""","=""1.27e+08""",B,"=""467344.9""","=""501564.4""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",,"=""T5109LS""","=""L648""",
O,4,"=""""","=""292.588""","=""""","=""""","=""6.28e+04""",C,"=""513187.2""","=""547355""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""292.618""","=""""","=""""","=""2.11e+07""",B,"=""467344.9""","=""501509.2""","=""2s.2p.(3P*).3p""","=""2P""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""292.683""","=""""","=""""","=""1.26e+06""",C+,"=""513198.3""","=""547355""","=""2s2.4f""","=""2F*""","=""7/2""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""292.836""","=""""","=""""","=""1.32e+06""",C+,"=""513187.2""","=""547326""","=""2s2.4f""","=""2F*""","=""5/2""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,5,"=""294.133""","=""""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L552""",
O,5,"=""294.165""","=""""","=""""","=""210""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L552""",
O,4,"=""""","=""295.772""","=""""","=""""","=""2.38e+07""",B,"=""596295""","=""630095""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""","=""2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""295.772""","=""""","=""""","=""8.94e+05""",B,"=""596295""","=""630095""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""","=""2p2.(3P).3d""","=""2F""","=""7/2""",,"=""T5109LS""","=""""",
O,1,"=""""","=""295.83650""","=""""","=""""","=""2.42e-04""",C+,"=""0.000""","=""33792.583""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1S""","=""0""",E2,"=""T4539,T5081""","=""""",
O,3,"=""295.968""","=""295.9695""","=""""","=""80""","=""1.83e+08""",B,"=""290958.25""","=""324735.65""","=""2s2.2p.(2P*).3p""","=""1P""","=""1""","=""2s2.2p.(2P*).3d""","=""1D*""","=""2""",,"=""T5376,T5791""","=""L3492""",
O,2,"=""296.4169""","=""296.4182""","=""""","=""3""","=""""",,"=""212593.82""","=""246320.086""","=""2s.2p4""","=""2P""","=""3/2""","=""2s2.2p2.(3P).4p""","=""4P*""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""296.6098""","=""296.6088""","=""""","=""4""","=""""",,"=""248515.30""","=""282219.90""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""","=""2s2.2p2.(1S).4s""","=""2S""","=""1/2""",,"=""""","=""L10621""",
O,1,"=""297.229""","=""297.22861""","=""""","=""265""","=""7.54e-02""",B+,"=""158.265""","=""33792.583""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1S""","=""0""",M1,"=""T4539,T5081""","=""L3760""",
O,2,"=""297.2769""","=""297.2745""","=""""","=""4""","=""""",,"=""232959.210""","=""266588.33""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(1D).4p""","=""2F*""","=""7/2""",,"=""""","=""L10621""",
O,4,"=""""","=""297.355""","=""""","=""""","=""2.38e+07""",B,"=""596475""","=""630095""","=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""","=""2p2.(3P).3d""","=""2F""","=""7/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""297.355""","=""""","=""""","=""1.17e+06""",B,"=""596475""","=""630095""","=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""","=""2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T5109LS""","=""""",
O,2,"=""297.9049""","=""297.9061""","=""""","=""5""","=""""",,"=""212762.25""","=""246320.086""","=""2s.2p4""","=""2P""","=""1/2""","=""2s2.2p2.(3P).4p""","=""4P*""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""298.0449""","=""298.0451""","=""""","=""3""","=""""",,"=""232462.724""","=""266004.90""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,4,"=""""","=""298.086""","=""""","=""""","=""1.31e+06""",B,"=""419533.9""","=""453071.5""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""298.234""","=""""","=""""","=""1.18e+07""",B,"=""419550.6""","=""453071.5""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""",,"=""T5109LS""","=""""",
O,3,"=""298.378""","=""298.3781""","=""""","=""250""","=""2.15e+08""",B,"=""273081.33""","=""306586.08""","=""2s2.2p.(2P*).3s""","=""1P*""","=""1""","=""2s2.2p.(2P*).3p""","=""1D""","=""2""",,"=""T5376,T5791,u24""","=""L3492""",
O,2,"=""299.0673""","=""299.0668""","=""""","=""4""","=""""",,"=""232535.949""","=""265963.54""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""""","=""299.1221""","=""""","=""""","=""""",,"=""232535.949""","=""265957.37""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""3/2""",,"=""""","=""L11267""",
O,3,"=""""","=""299.2081""","=""""","=""""","=""9.32e+06""",C,"=""293866.49""","=""327278.30""","=""2s2.2p.(2P*).3p""","=""3D""","=""1""","=""2s2.2p.(2P*).3d""","=""3D*""","=""2""",,"=""T5376,T5791,LS""","=""""",
O,2,"=""299.5871""","=""299.5810""","=""""","=""7w*""","=""""",,"=""252608.28""","=""285978.5?""","=""2s2.2p2.(1D).3d""","=""2G""","=""9/2""","=""2s2.2p2.(1D).5f H""","=""2[5]*""","=""11/2""",,"=""""","=""L10621""",
O,2,"=""299.5871""","=""299.5810""","=""""","=""7w*""","=""""",,"=""252608.28""","=""285978.5?""","=""2s2.2p2.(1D).3d""","=""2G""","=""9/2""","=""2s2.2p2.(1D).5f H""","=""2[5]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""299.5871""","=""299.5916""","=""""","=""7w*""","=""""",,"=""252609.46""","=""285978.5?""","=""2s2.2p2.(1D).3d""","=""2G""","=""7/2""","=""2s2.2p2.(1D).5f H""","=""2[5]*""","=""9/2""",,"=""""","=""L10621""",
O,3,"=""""","=""299.6480""","=""""","=""""","=""4.64e+07""",C,"=""293866.49""","=""327229.25""","=""2s2.2p.(2P*).3p""","=""3D""","=""1""","=""2s2.2p.(2P*).3d""","=""3D*""","=""1""",,"=""T5376,T5791,LS""","=""""",
O,2,"=""""","=""299.6937""","=""""","=""""","=""""",,"=""232535.949""","=""265893.62""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""3/2""",,"=""""","=""L11267""",
O,2,"=""""","=""299.7188""","=""""","=""""","=""""",,"=""232602.492""","=""265957.37""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""3/2""",,"=""""","=""L11267""",
O,3,"=""""","=""299.7689""","=""""","=""""","=""6.88e+06""",C,"=""294002.86""","=""327352.17""","=""2s2.2p.(2P*).3p""","=""3D""","=""2""","=""2s2.2p.(2P*).3d""","=""3D*""","=""3""",,"=""T5376,T5791,LS""","=""""",
O,4,"=""""","=""299.937""","=""""","=""""","=""6.88e+06""",B,"=""518699""","=""552029.6""","=""2s.2p.(1P*).3s""","=""2P*""","=""1/2""","=""2s2.5d""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""300.003""","=""""","=""""","=""8.25e+06""",B,"=""518709""","=""552032.3""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""5/2""",,"=""T5109LS""","=""""",
O,4,"=""""","=""300.027""","=""""","=""""","=""1.38e+06""",B,"=""518709""","=""552029.6""","=""2s.2p.(1P*).3s""","=""2P*""","=""3/2""","=""2s2.5d""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""300.1696""","=""300.1693""","=""""","=""5""","=""""",,"=""232462.724""","=""265767.55""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""300.2977""","=""300.2978""","=""""","=""8""","=""""",,"=""232602.492""","=""265893.06""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
O,3,"=""""","=""300.4344""","=""""","=""""","=""4.27e+07""",C,"=""294002.86""","=""327278.30""","=""2s2.2p.(2P*).3p""","=""3D""","=""2""","=""2s2.2p.(2P*).3d""","=""3D*""","=""2""",,"=""T5376,T5791,LS""","=""""",
O,4,"=""""","=""300.459""","=""""","=""""","=""1.28e+07""",B,"=""419533.9""","=""452806.6""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""",,"=""T5109LS""","=""""",
O,2,"=""300.5958""","=""300.5950""","=""""","=""10""","=""""",,"=""232462.724""","=""265720.38""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""300.5958""","=""300.5979""","=""""","=""10""","=""""",,"=""232747.562""","=""266004.90""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""""","=""300.6122""","=""""","=""""","=""""",,"=""232462.724""","=""265718.48""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,2,"=""300.6565""","=""300.6544""","=""""","=""5""","=""""",,"=""232753.816""","=""266004.90""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""300.7035""","=""300.7010""","=""""","=""14bl*""","=""""",,"=""232753.816""","=""265999.75""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,2,"=""300.7035""","=""300.7029""","=""""","=""14bl*""","=""""",,"=""232711.642""","=""265957.37""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""""","=""300.7112""","=""""","=""""","=""""",,"=""232747.562""","=""265992.37""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,2,"=""""","=""300.7118""","=""""","=""""","=""""",,"=""232747.562""","=""265992.31""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""7/2""",,"=""""","=""L11267""",
O,2,"=""300.7681""","=""300.7678""","=""""","=""7*""","=""""",,"=""232753.816""","=""265992.37""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""300.7681""","=""300.7683""","=""""","=""7*""","=""""",,"=""232753.816""","=""265992.31""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""300.8318""","=""300.8307""","=""""","=""9""","=""""",,"=""232535.949""","=""265767.55""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""""","=""300.8422""","=""""","=""""","=""""",,"=""232535.949""","=""265766.28""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""3/2""",,"=""""","=""L11267""",
O,3,"=""""","=""300.8779""","=""""","=""""","=""1.53e+07""",C,"=""294002.86""","=""327229.25""","=""2s2.2p.(2P*).3p""","=""3D""","=""2""","=""2s2.2p.(2P*).3d""","=""3D*""","=""1""",,"=""T5376,T5791,LS""","=""""",
O,2,"=""300.9570""","=""300.9579""","=""""","=""7""","=""""",,"=""232745.981""","=""265963.54""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""""","=""300.9722""","=""""","=""""","=""""",,"=""232747.562""","=""265963.54""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""5/2""",,"=""""","=""L11267""",
O,2,"=""""","=""301.0138""","=""""","=""""","=""""",,"=""232745.981""","=""265957.37""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""3/2""",,"=""""","=""L11267""",
O,2,"=""301.1534""","=""301.1527""","=""""","=""9*""","=""""",,"=""232796.298""","=""265992.37""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""301.1534""","=""301.1533""","=""""","=""9*""","=""""",,"=""232796.298""","=""265992.31""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""""","=""301.2756""","=""""","=""""","=""""",,"=""232535.949""","=""265718.48""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,2,"=""301.2825""","=""301.2806""","=""""","=""8*""","=""""",,"=""232711.642""","=""265893.62""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""301.2825""","=""301.2857""","=""""","=""8*""","=""""",,"=""232711.642""","=""265893.06""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
O,2,"=""301.3357""","=""301.3361""","=""""","=""11""","=""""",,"=""232462.724""","=""265638.59""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""""","=""301.3497""","=""""","=""""","=""""",,"=""232462.724""","=""265637.10""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",,"=""""","=""L11267""",
O,2,"=""301.4158""","=""301.4145""","=""""","=""7""","=""""",,"=""232796.298""","=""265963.54""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5f F""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""301.4469""","=""301.4459""","=""""","=""8""","=""""",,"=""232602.492""","=""265766.28""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""""","=""301.5928""","=""""","=""""","=""""",,"=""232745.981""","=""265893.62""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""3/2""",,"=""""","=""L11267""",
O,2,"=""301.5974""","=""301.5978""","=""""","=""7""","=""""",,"=""232745.981""","=""265893.06""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[1]*""","=""1/2""",,"=""""","=""L10621""",
O,4,"=""""","=""301.711""","=""""","=""""","=""8.60e+06""",B,"=""514220.4""","=""547355""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2D""","=""5/2""",,"=""T5109LS""","=""""",
O,3,"=""301.763""","=""301.7615""","=""""","=""80""","=""5.38e+07""",C,"=""294223.07""","=""327352.17""","=""2s2.2p.(2P*).3p""","=""3D""","=""3""","=""2s2.2p.(2P*).3d""","=""3D*""","=""3""",,"=""T5376,T5791,LS""","=""L3467""",
O,4,"=""""","=""301.976""","=""""","=""""","=""1.43e+06""",B,"=""514220.4""","=""547326""","=""2s.2p.(3P*).3d""","=""2P*""","=""3/2""","=""2s.2p.(1P*).3p""","=""2D""","=""3/2""",,"=""T5109LS""","=""""",
O,2,"=""302.0173""","=""302.0163""","=""""","=""5""","=""""",,"=""232535.949""","=""265637.10""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,3,"=""""","=""302.3139""","=""""","=""""","=""2.46e+05""",D,"=""365527.08""","=""398595.65""","=""2s.2p2.(4P).3p""","=""5D*""","=""0""","=""2s.2p2.(4P).3d""","=""5P""","=""1""",,"=""T5376LS""","=""""",
O,3,"=""302.345""","=""302.3425""","=""""","=""80""","=""4.79e+07""",C+,"=""267377.11""","=""300442.55""","=""2s2.2p.(2P*).3s""","=""3P*""","=""1""","=""2s2.2p.(2P*).3p""","=""3P""","=""2""",,"=""u24""","=""L3467""",
O,3,"=""""","=""302.4359""","=""""","=""""","=""9.39e+06""",C,"=""294223.07""","=""327278.30""","=""2s2.2p.(2P*).3p""","=""3D""","=""3""","=""2s2.2p.(2P*).3d""","=""3D*""","=""2""",,"=""T5376,T5791,LS""","=""""",
O,3,"=""""","=""302.4540""","=""""","=""""","=""6.16e+07""",C+,"=""267258.71""","=""300311.96""","=""2s2.2p.(2P*).3s""","=""3P*""","=""0""","=""2s2.2p.(2P*).3p""","=""3P""","=""1""",,"=""u24""","=""""",
O,2,"=""302.5218""","=""302.5232""","=""""","=""7""","=""""",,"=""232959.210""","=""266004.90""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""302.5705""","=""302.5704""","=""""","=""9""","=""""",,"=""232959.210""","=""265999.75""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5f F""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,3,"=""""","=""302.6330""","=""""","=""""","=""5.51e+05""",D,"=""365561.95""","=""398595.65""","=""2s.2p2.(4P).3p""","=""5D*""","=""1""","=""2s.2p2.(4P).3d""","=""5P""","=""1""",,"=""T5376LS""","=""""",
O,2,"=""302.6383""","=""302.6380""","=""""","=""1w*""","=""""",,"=""232959.210""","=""265992.37""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""302.6383""","=""302.6385""","=""""","=""1w*""","=""""",,"=""232959.210""","=""265992.31""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""","=""2s2.2p2.(3P).5f F""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""302.7577""","=""302.7559""","=""""","=""1*""","=""""",,"=""232745.981""","=""265766.28""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""3/2""",,"=""""","=""L10621""",
O,2,"=""302.7577""","=""302.7587""","=""""","=""1*""","=""""",,"=""232747.562""","=""265767.55""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""302.7976""","=""302.7971""","=""""","=""7""","=""""",,"=""232747.562""","=""265763.36""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""7/2""",,"=""""","=""L10621""",
O,4,"=""""","=""302.804""","=""""","=""""","=""2.64e+07""",B,"=""452806.6""","=""485821.7""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""2s2.4s""","=""2S""","=""1/2""",,"=""T5109LS""","=""""",
O,2,"=""""","=""302.8545""","=""""","=""""","=""""",,"=""232753.816""","=""265763.36""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""7/2""",,"=""""","=""L11267""",
O,2,"=""302.8736""","=""302.8735""","=""""","=""9""","=""""",,"=""232753.816""","=""265761.29""","=""2s2.2p2.(3P).3d""","=""4D""","=""7/2""","=""2s2.2p2.(3P).5f G""","=""2[4]*""","=""9/2""",,"=""""","=""L10621""",
O,3,"=""""","=""302.9860""","=""""","=""""","=""1.10e+05""",D,"=""365561.95""","=""398557.17""","=""2s.2p2.(4P).3p""","=""5D*""","=""1""","=""2s.2p2.(4P).3d""","=""5P""","=""2""",,"=""T5376LS""","=""""",
O,2,"=""303.1929""","=""303.1919""","=""""","=""3*""","=""""",,"=""232747.562""","=""265720.38""","=""2s2.2p2.(3P).3d""","=""4D""","=""5/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""7/2""",,"=""""","=""L10621""",
O,2,"=""303.1929""","=""303.1948""","=""""","=""3*""","=""""",,"=""232745.981""","=""265718.48""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""","=""2s2.2p2.(3P).5f G""","=""2[3]*""","=""5/2""",,"=""""","=""L10621""",
O,2,"=""""","=""303.2063""","=""""","=""""","=""""",,"=""232796.298""","=""265767.55""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""","=""2s2.2p2.(3P).5f D""","=""2[2]*""","=""5/2""",,"=""""","=""L11267""",
