element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,gA(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
W,1,"=""764.341""","=""""","=""764.340""","=""0.004""","=""20""","=""""",,"=""36275.10""","=""49354.68""","=""""","=""*""","=""5""","=""5d4.6s.(6D).7s""","=""7D""","=""5""",,"=""""","=""L153""",
W,1,"=""764.409""","=""""","=""""","=""""","=""3w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""765.363""","=""""","=""765.358""","=""0.004""","=""30""","=""""",,"=""27849.80""","=""40911.98""","=""5d5.(2I).6s""","=""3I""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""765.481""","=""""","=""765.476""","=""0.004""","=""80""","=""6.0e+04""",D,"=""13307.10""","=""26367.28""","=""5d4.6s2""","=""3P2""","=""1""","=""""","=""*""","=""2""",,"=""T4976""","=""L153""",
W,1,"=""765.648""","=""""","=""765.657""","=""0.004""","=""2""","=""""",,"=""29853.66""","=""42910.74""","=""5d5.(4F).6s""","=""5F""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""765.748""","=""""","=""765.748""","=""0.004""","=""10""","=""""",,"=""27213.82""","=""40269.35""","=""5d5.(2F1).6s""","=""3F""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""765.794""","=""""","=""""","=""""","=""1""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""765.880""","=""""","=""765.879""","=""0.004""","=""4""","=""""",,"=""29479.32""","=""42532.62""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""4""",,"=""""","=""L153""",
W,1,"=""766.488""","=""""","=""766.484""","=""0.004""","=""200""","=""1.14e+06""",C,"=""18280.48""","=""31323.48""","=""5d5.(6S).6s""","=""5S""","=""2""","=""""","=""*""","=""1""",,"=""T4976""","=""L153""",
W,1,"=""766.695""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""766.972""","=""""","=""766.965""","=""0.004""","=""1""","=""""",,"=""29479.32""","=""42514.14""","=""5d4.6s2""","=""3F1""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""767.229""","=""""","=""767.226""","=""0.004""","=""15""","=""""",,"=""22476.68""","=""35507.07""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""5""",,"=""""","=""L153""",
W,1,"=""767.561""","=""""","=""767.554""","=""0.004""","=""20""","=""""",,"=""28392.70""","=""41417.52""","=""5d5.(2I).6s""","=""3I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
W,1,"=""767.698""","=""""","=""767.692""","=""0.004""","=""6""","=""""",,"=""22476.68""","=""35499.15""","=""5d5.(4D).6s""","=""5D""","=""4""","=""""","=""*""","=""3""",,"=""""","=""L153""",
W,1,"=""767.857""","=""""","=""767.853""","=""0.004""","=""6""","=""""",,"=""29430.50""","=""42450.24""","=""""","=""""","=""3""","=""""","=""*""","=""4""",,"=""""","=""L153,L416""",
W,1,"=""767.918""","=""""","=""767.913""","=""0.004""","=""40""","=""3.e+04""",E,"=""13348.56""","=""26367.28""","=""5d4.6s2""","=""3G""","=""3""","=""""","=""*""","=""2""",,"=""T4976""","=""L153""",
W,1,"=""768.012""","=""""","=""768.011""","=""0.004""","=""1""","=""""",,"=""21448.76""","=""34465.83""","=""5d4.6s.(6D).6p""","=""7F*""","=""2""","=""""","=""""","=""3""",,"=""""","=""L153,L416""",
W,1,"=""768.130""","=""""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""768.897""","=""""","=""768.896""","=""0.004""","=""80""","=""""",,"=""19826.04""","=""32828.12""","=""5d4.6s2""","=""3G""","=""5""","=""5d4.6s.(6D).6p""","=""5D*""","=""4""",,"=""""","=""L153""",
W,1,"=""768.997""","=""""","=""768.993""","=""0.004""","=""25""","=""""",,"=""19827.68""","=""32828.12""","=""5d5.(4P).6s""","=""5P""","=""3""","=""5d4.6s.(6D).6p""","=""5D*""","=""4""",,"=""""","=""L153""",
W,1,"=""769.280""","=""""","=""769.279""","=""0.004""","=""6""","=""""",,"=""32378.40""","=""45374.00""","=""5d5.(2D3).6s""","=""3D""","=""1""","=""""","=""*""","=""1""",,"=""""","=""L153""",
W,1,"=""769.390""","=""""","=""""","=""""","=""4""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""769.436""","=""""","=""769.429""","=""0.004""","=""3""","=""""",,"=""40923.83""","=""53916.90""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L153""",
W,1,"=""769.604""","=""""","=""""","=""""","=""2""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""769.800""","=""""","=""""","=""""","=""10""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L153""",
W,1,"=""769.948""","=""""","=""769.949""","=""0.004""","=""20""","=""""",,"=""24789.66""","=""37773.96""","=""5d4.6s2""","=""1D2""","=""2""","=""""","=""*""","=""1""",,"=""""","=""L153""",
