element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
N,1,"=""""","=""""","=""1068.91""","=""""","=""""","=""4.49e+06""",C,"=""111213.271""","=""120566.0""","=""2s2.2p2.(3P).5p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2S""","=""1/2""",,"=""u18,LS""","=""""",
N,3,"=""""","=""""","=""1069.04""","=""""","=""""","=""2.26e+06""",B,"=""311715.2""","=""321066.8""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""5/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""""","=""1069.0737""","=""""","=""""","=""1.3e+04""",D,"=""94793.490""","=""104144.820""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""1/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1069.3173""","=""""","=""""","=""4.10e+05""",B,"=""95532.150""","=""104881.350""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""7/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1070.6044""","=""""","=""""","=""3.64e+03""",C+,"=""86137.350""","=""95475.310""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1071.3548""","=""""","=""""","=""7.16e+06""",B+,"=""95493.690""","=""104825.110""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1071.796""","=""""","=""""","=""3.75e+06""",B+,"=""95532.150""","=""104859.73""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",,"=""T7370""","=""""",
N,5,"=""""","=""""","=""1072.31""","=""""","=""""","=""2.10e+07""",B,"=""[746309.9]""","=""755633""","=""1s2.8p""","=""2P*""","=""3/2""","=""1s2.9d""","=""2D""","=""5/2""",,"=""T3225LS""","=""""",
N,1,"=""""","=""""","=""1073.0509""","=""""","=""""","=""1.29e+06""",B,"=""95493.690""","=""104810.360""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1073.6306""","=""""","=""""","=""3.23e+03""",C+,"=""86220.510""","=""95532.150""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""",,"=""T7370""","=""""",
N,5,"=""""","=""""","=""1074.74""","=""""","=""""","=""1.74e+07""",B,"=""[746306.0]""","=""755608""","=""1s2.8p""","=""2P*""","=""1/2""","=""1s2.9d""","=""2D""","=""3/2""",,"=""T3225LS""","=""""",
N,5,"=""""","=""""","=""1075.19""","=""""","=""""","=""3.47e+06""",B,"=""[746309.9]""","=""755608""","=""1s2.8p""","=""2P*""","=""3/2""","=""1s2.9d""","=""2D""","=""3/2""",,"=""T3225LS""","=""""",
N,1,"=""""","=""""","=""1075.7887""","=""""","=""""","=""3.92e+06""",B+,"=""95532.150""","=""104825.110""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",,"=""T7370""","=""""",
N,3,"=""""","=""""","=""1075.84""","=""""","=""""","=""1.84e+06""",B,"=""376945.2""","=""386237.7""","=""2s.2p.(3P*).4p""","=""4D""","=""7/2""","=""2s.2p.(3P*).4d""","=""4P*""","=""5/2""",,"=""T7192LS""","=""""",
N,3,"=""""","=""""","=""1076.37""","=""""","=""""","=""1.85e+06""",B,"=""311690.3""","=""320978.2""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""""","=""1077.4989""","=""""","=""""","=""3.17e+05""",B,"=""95532.150""","=""104810.360""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1078.0834""","=""""","=""""","=""1.2e-01""",E,"=""86220.510""","=""95493.690""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1078.68""","=""""","=""""","=""2.16e+07""",C+,"=""110544.850""","=""119812.9""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""",,"=""T5714""","=""""",
N,3,"=""""","=""""","=""1079.27""","=""""","=""""","=""3.66e+05""",B,"=""311715.2""","=""320978.2""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""T7192LS""","=""""",
N,1,"=""""","=""""","=""1080.2245""","=""""","=""""","=""5.01e+03""",C+,"=""86220.510""","=""95475.310""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1087.9159""","=""""","=""""","=""1.42e+05""",B+,"=""95493.690""","=""104683.060""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1087.9810""","=""""","=""""","=""1.92e+04""",B+,"=""95475.310""","=""104664.130""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1088.4572""","=""""","=""""","=""1.44e+05""",B+,"=""95532.150""","=""104716.950""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""7/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1089.1782""","=""""","=""""","=""1.31e+05""",C,"=""95475.310""","=""104654.030""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1090.1616""","=""""","=""""","=""1.55e+04""",B+,"=""95493.690""","=""104664.130""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""",,"=""T7370""","=""""",
N,2,"=""""","=""""","=""1090.746""","=""""","=""""","=""1.32e+07""",B,"=""202170.63""","=""211336.16""","=""2s2.2p.4p""","=""1P""","=""1""","=""2s2.2p.4d""","=""1P*""","=""1""",,"=""T5520""","=""""",
N,2,"=""""","=""""","=""1090.906""","=""""","=""""","=""3.08e+03""",B,"=""178273.38""","=""187437.56""","=""2s2.2p.3p""","=""1S""","=""0""","=""2s2.2p.3d""","=""3D*""","=""1""",,"=""T7333""","=""""",
N,1,"=""""","=""""","=""1091.3636""","=""""","=""""","=""5.6e+03""",C,"=""95493.690""","=""104654.030""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1092.4883""","=""""","=""""","=""1.06e+04""",B+,"=""95532.150""","=""104683.060""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""5/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1093.7732""","=""""","=""""","=""3.61e+04""",C,"=""95475.310""","=""104615.470""","=""2s2.2p2.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1094.7529""","=""""","=""""","=""9.86e+02""",B+,"=""95532.150""","=""104664.130""","=""2s2.2p2.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p2.(3P).3d""","=""4F""","=""3/2""",,"=""T7370""","=""""",
N,1,"=""""","=""""","=""1095.9771""","=""""","=""""","=""4.19e+04""",C,"=""95493.690""","=""104615.470""","=""2s2.2p2.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",,"=""T7370""","=""""",
